Formula,E_g_Exp,Source,Priority
Ba2GaBiS5,2.38,Matbench,2
Ba1.88Ta15O32,0.13,Matbench,2
B3Pb3NO10,3.64,Matbench,2
Ba2GaS4,2.55,Matbench,2
Ba14Na8CaN6,0.0,Matbench,2
Ba23Ga8(SbS19)2,2.84,Matbench,2
Ba2B4H2O9,5.12,Matbench,2
Ba2B6H4O13,6.53,Matbench,2
Ba2B6O11,5.17,Matbench,2
Ba2BiSbO6,0.0,Matbench,2
Ba2CaOsO6,0.0,Matbench,2
Ba2CaReO6,0.0,Matbench,2
Ba2Cd(BO2)6,4.59,Matbench,2
Ba2Ce2O5,0.0,Matbench,2
Ba2CeInTe5,1.35,Matbench,2
Ba2InBiS5,1.55,Matbench,2
Ba2InSbSe5,1.92,Matbench,2
Ba2CuWO6,0.0,Matbench,2
BSbPbS4,1.8,Matbench,2
Ba2NaCu3S5,0.45,Matbench,2
Ba2DyGaTe5,1.13,Matbench,2
Ba2DyInSe5,2.27,Matbench,2
Ba2DyInTe5,1.35,Matbench,2
Ba2ErGaSe5,1.95,Matbench,2
Ba2ErGaTe5,1.15,Matbench,2
Ba2ErInSe5,2.29,Matbench,2
Ba2ErInTe5,1.35,Matbench,2
Ba2FeMoO6,0.0,Matbench,2
Ba2FeReO6,0.0,Matbench,2
Ba2Ga8GeS16,3.0,Matbench,2
Ba2Ga8SiS16,3.4,Matbench,2
Ba2SmInSe5,2.22,Matbench,2
Ba2SmInTe5,1.36,Matbench,2
Ba2GaBiSe5,2.21,Matbench,2
Ba12In4S19,2.56,Matbench,2
Ba2SnSe5,1.8,Matbench,2
Ba2GaSbSe5,2.51,Matbench,2
Ba2GaSbTe5,1.66,Matbench,2
Ba2GaSe4,1.63,Matbench,2
Ba2GdGaSe5,1.87,Matbench,2
Ba2GdGaTe5,1.12,Matbench,2
Ba2GdInSe5,2.24,Matbench,2
Ba2GdInTe5,1.36,Matbench,2
Ba2HgS5,2.4,Matbench,2
Ba2In2S5,2.47,Matbench,2
Ba2In2Se5,2.12,Matbench,2
Ba2InAgS4,2.32,Matbench,2
Ba2YReO6,0.0,Matbench,2
Ba2Yb(CuO2)4,0.0,Matbench,2
Ba2LaIrO6,0.0,Matbench,2
Ba2DyCu3O7,0.0,Matbench,2
Ba2ZnTe3,2.1,Matbench,2
Ba2NdGaS5,2.12,Matbench,2
Ba2NdGaSe5,2.18,Matbench,2
Ba2NdInSe5,2.2,Matbench,2
Ba2NdInTe5,1.37,Matbench,2
Ba2ReNiO6,0.0,Matbench,2
Ba2Sb7HO14,2.7,Matbench,2
Ba2ScIrO6,0.0,Matbench,2
Ba2ScTaO6,4.19,Matbench,2
Ba2SmCu3O7,0.0,Matbench,2
Ba2SmGaSe5,2.27,Matbench,2
Ba2SmGaTe5,1.04,Matbench,2
Ba3Co10O17,0.0,Matbench,2
Ba3CrS5,0.0,Matbench,2
Ba2SmTaO6,3.02,Matbench,2
Ba2GaBiTe5,1.43,Matbench,2
Ba3ErRu2O9,0.0,Matbench,2
Ba2TaInO6,4.17,Matbench,2
Ba2TbIrO6,0.0,Matbench,2
Ba2ThCu2Se5,1.75,Matbench,2
Ba2UCuO6,0.0,Matbench,2
Ba2V2Te2O11,3.16,Matbench,2
Ba2V2ZnO8,3.48,Matbench,2
Ba2V4(TeO6)3,2.64,Matbench,2
Ba2YGaSe5,2.31,Matbench,2
Ba2YGaTe5,1.08,Matbench,2
Ba2YInSe5,2.31,Matbench,2
Ba2YInTe5,1.36,Matbench,2
Ba3NaIrO6,0.0,Matbench,2
Ba3Nb2CoO9,0.0,Matbench,2
Ba2Zn0.2B2S5.2,3.54,Matbench,2
Ba2LiFe2N3,0.0,Matbench,2
Ba3PN,0.0,Matbench,2
Ba3(AlGe)2,0.0,Matbench,2
Ba3(LiSn2)4,0.0,Matbench,2
Ba3Ag2(SnS4)2,2.37,Matbench,2
Ba3B1.5Sb0.5S6,3.01,Matbench,2
Ba3BSbS6,2.62,Matbench,2
Ba3BSbSe6,1.89,Matbench,2
Ba3Bi0.5B1.5S6,2.43,Matbench,2
Ba3Bi2TeO9,2.3,Matbench,2
Ba3CaIr2O9,0.0,Matbench,2
Ba3CaRu2O9,0.0,Matbench,2
Ba3Cd(SnS4)2,2.75,Matbench,2
Ba3Yb4O9,0.0,Matbench,2
Ba3ZrRu2O9,0.0,Matbench,2
Ba3Dy2(PS4)4,3.28,Matbench,2
Ba2SnSe4,1.9,Matbench,2
Ba4Ga4SnSe12,2.16,Matbench,2
Ba3Eu(PO4)3,4.09,Matbench,2
Ba3FeS4Br,1.65,Matbench,2
Ba3Gd2(PS4)4,3.41,Matbench,2
Ba3GeS5,3.0,Matbench,2
Ba3Ho2(PS4)4,3.3,Matbench,2
Ba3In2(PO4)4,3.87,Matbench,2
Ba3InS4Cl,3.42,Matbench,2
Ba3La3(Cu3O7)2,1.8,Matbench,2
Ba3MgTa2O9,4.28,Matbench,2
Ba3N2,0.0,Matbench,2
Ba3NaIr2O9,0.0,Matbench,2
Ba4Si20Au3,0.0,Matbench,2
Ba4Si3Se9Cl2,1.76,Matbench,2
Ba3Nb2Se9,1.3,Matbench,2
Ba2ZnSe3,2.75,Matbench,2
Ba5(Ga2Se5)2,2.2,Matbench,2
Ba3Sb2S7,2.4,Matbench,2
Ba3Sn(SbSe4)2,0.97,Matbench,2
Ba3Sn0.87Bi2.13Se8,0.79,Matbench,2
Ba3Ta2Se9,1.6,Matbench,2
Ba3Ta2ZnO9,4.32,Matbench,2
Ba3Ta5NO14,2.8,Matbench,2
Ba3Tb2(PS4)4,3.37,Matbench,2
Ba3Te,0.0,Matbench,2
Ba3ThSe7,1.96,Matbench,2
Ba3V2(SeO4)4,2.87,Matbench,2
Ba3YIr2O9,0.0,Matbench,2
Ba6Al4B14O33,3.44,Matbench,2
Ba6Ga2SnSe11,1.99,Matbench,2
Ba4B11O20F,7.1,Matbench,2
Ba3Er2(PS4)4,3.3,Matbench,2
Ba7(SnS3)5,2.29,Matbench,2
Ba4Ga5AgS12,2.52,Matbench,2
Ba4Ga5CuS12,2.82,Matbench,2
Ba4Ga5CuSe12,1.45,Matbench,2
Ba4Ga5Si18,0.31,Matbench,2
Ba4Ge3S9Cl2,2.91,Matbench,2
Ba4Ge3Se9Cl2,1.89,Matbench,2
Ba4InAgSe6,2.41,Matbench,2
Ba4InCuSe6,2.23,Matbench,2
Ba4LiGa5Se12,2.65,Matbench,2
Ba4Nb14O23,0.0,Matbench,2
Ba4Sb3S8Cl,2.09,Matbench,2
BaAl4Se7,3.4,Matbench,2
BaAlCu4O7,0.0,Matbench,2
Ba4Sm2Cu2O9,0.0,Matbench,2
Ba3P3ClO10,6.89,Matbench,2
BaB6,2.64,Matbench,2
Ba5(GaSe4)2,2.51,Matbench,2
Ba5Al2Ge7,0.0,Matbench,2
Ba5Bi3,0.0,Matbench,2
Ba5Cd(Ga2Se5)3,2.6,Matbench,2
Ba5Ga6GeP12,1.39,Matbench,2
Ba5Ga6SnP12,1.21,Matbench,2
Ba5Ge3,0.0,Matbench,2
Ba5In4Bi5,0.0,Matbench,2
Ba5In4Te4S7,2.13,Matbench,2
Ba5Sb3,0.0,Matbench,2
Ba5V3O12F,3.85,Matbench,2
BaEu2Mn2O7,0.0,Matbench,2
BaGa2GeS6,3.23,Matbench,2
Ba6In2NF,0.0,Matbench,2
Ba4Ga4GeSe12,2.18,Matbench,2
BaGa4S7,3.54,Matbench,2
Ba7B3O9F5,4.94,Matbench,2
Ba7Ga5AgS15,2.6,Matbench,2
Ba7Ru4Br2O15,0.0,Matbench,2
Ba8Al10B12O41,3.1,Matbench,2
Ba8Hg4Se7S5,1.98,Matbench,2
Ba8Sn4S15,2.31,Matbench,2
Ba8Ta7O24,0.0,Matbench,2
BaAg,0.0,Matbench,2
BaAg2,0.0,Matbench,2
BaAgSbS3,2.2,Matbench,2
BaAl2,0.0,Matbench,2
BaLa2In2S7,1.87,Matbench,2
BaLa2In2Se7,1.66,Matbench,2
BaAu(IO3)5,2.32,Matbench,2
Ba4Yb(CuO3)3,0.0,Matbench,2
BaMn4O7,0.0,Matbench,2
BaBClF4,6.89,Matbench,2
BaBSbS4,2.34,Matbench,2
BaBiClO2,3.71,Matbench,2
BaCaB2O5,5.6,Matbench,2
BaCaSn3,0.0,Matbench,2
BaCdSnS4,2.3,Matbench,2
BaCu2SnSe4,0.48,Matbench,2
BaCuSbS3,2.0,Matbench,2
BaCuSbSe3,1.6,Matbench,2
BaCuTeF,2.3,Matbench,2
BaDy2CuO5,0.0,Matbench,2
BaPrO3,2.0,Matbench,2
BaPt5,0.0,Matbench,2
BaGa2SiS6,3.75,Matbench,2
Ba6Sn6Se13,1.52,Matbench,2
BaSi,0.0,Matbench,2
BaGa4Se7,2.64,Matbench,2
BaGe2,1.0,Matbench,2
BaGe3Pt,0.0,Matbench,2
BaGe4(IrS3)2,1.54,Matbench,2
BaGe4(IrSe3)2,1.33,Matbench,2
BaGe4(RhSe3)2,1.09,Matbench,2
BaHgS2,1.93,Matbench,2
BaHgSe2,1.56,Matbench,2
BaIn2(P2O7)2,3.97,Matbench,2
BaIn2Ir,0.0,Matbench,2
BaLa2CoS5,0.0,Matbench,2
BaTi4O8,0.0,Matbench,2
BaTl(MoO3)2,0.0,Matbench,2
BaLa2Te5O14,3.81,Matbench,2
BaAu2,0.0,Matbench,2
BaV2SeO8,2.13,Matbench,2
BaMn4ZnO8,0.0,Matbench,2
BaMnO3,0.0,Matbench,2
BaNa2GeS4,3.7,Matbench,2
BaNa2GeSe4,2.25,Matbench,2
BaNa2SnS4,3.27,Matbench,2
BaNa2SnSe4,2.46,Matbench,2
BaNaB5O9,4.78,Matbench,2
BaNb4O6,0.0,Matbench,2
BaO,4.8,Matbench,2
BaPd(IO3)4,1.97,Matbench,2
BaPdSe6,2.15,Matbench,2
Be3N2,3.8,Matbench,2
Be3Sb2,0.67,Matbench,2
BaReH9,3.44,Matbench,2
BaGa2SiSe6,2.88,Matbench,2
BeFe2Si,0.0,Matbench,2
BaSi2,1.3,Matbench,2
BaSn2S5,2.35,Matbench,2
BaSn3,0.0,Matbench,2
BaSnO3,3.1,Matbench,2
BaTaNO2,1.78,Matbench,2
BaTbMn2O6,0.0,Matbench,2
BaTe,3.4,Matbench,2
BaTeMo2O9,3.12,Matbench,2
BaTh3,0.0,Matbench,2
BaTi14O28,0.0,Matbench,2
BaTi4O7,0.0,Matbench,2
Bi0.002Te0.003Pb0.999Se0.999,0.79,Matbench,2
Bi0.04Te0.06Pb0.98Se0.98,0.28,Matbench,2
BaTl3,0.0,Matbench,2
BaLi4,0.0,Matbench,2
Bi0.4Sb1.6Te3,0.21,Matbench,2
BaYb2O4,0.0,Matbench,2
BaYbSn3,0.0,Matbench,2
BaZn(MoO2)4,0.0,Matbench,2
BaZn5,0.0,Matbench,2
BaZnGeSe4,2.46,Matbench,2
BaZnSO,3.9,Matbench,2
BaZnSiSe4,2.71,Matbench,2
Be12Pt,0.0,Matbench,2
Be22Re,0.0,Matbench,2
Be2HgTe,0.0,Matbench,2
Be2W,0.0,Matbench,2
Bi2(PO4)3,0.0,Matbench,2
Bi24BO39,2.91,Matbench,2
BeAlB,0.0,Matbench,2
BaS,3.88,Matbench,2
Bi2I4O13,3.3,Matbench,2
BeGaO3,0.0,Matbench,2
BeGaRh2,0.0,Matbench,2
BeO,10.39,Matbench,2
BePd2,0.0,Matbench,2
BePd3,0.0,Matbench,2
BeS,4.17,Matbench,2
BeSe,4.0,Matbench,2
BeSiOs2,0.0,Matbench,2
BeSiRu2,0.0,Matbench,2
BeTcSe,0.0,Matbench,2
BeTe,2.89,Matbench,2
Bi2Te0.4Se2.6,0.7,Matbench,2
Bi2Te0.6Se2.4,0.28,Matbench,2
Bi0.2Sb1.8Te3,0.28,Matbench,2
BaUSe3,1.0,Matbench,2
Bi2Te1.5Se1.5,0.29,Matbench,2
Bi0.4Te0.6Pb0.8Se0.8,0.22,Matbench,2
Bi0.6Sb1.4Te3,0.2,Matbench,2
Bi1.4Sb0.6Te3,0.17,Matbench,2
Bi1.6Sb0.4Te3,0.16,Matbench,2
Bi1.8Sb0.2Te3,0.15,Matbench,2
Bi1.98Sb0.02Te3,0.14,Matbench,2
Bi12PO20,3.25,Matbench,2
Bi12Rh12O41,0.0,Matbench,2
Bi1Sb0.15,0.02,Matbench,2
Bi2(BO3)3,0.0,Matbench,2
Bi2(MoO4)3,2.9,Matbench,2
Bi4Pb7Se13,0.29,Matbench,2
Bi4Pd(SeO3)4,2.06,Matbench,2
Bi2AsClO4,3.43,Matbench,2
BeCu,0.0,Matbench,2
Bi8Te7S5,0.4,Matbench,2
Bi2Mo2Se2O13,3.15,Matbench,2
Bi2O5,0.0,Matbench,2
Bi2Pd3S2,0.0,Matbench,2
Bi2Pt,0.0,Matbench,2
Bi2SI2O11,3.74,Matbench,2
Bi2Se3,0.35,Matbench,2
Bi2SeI2O11,3.7,Matbench,2
Bi2Te0.03Se2.97,0.27,Matbench,2
Bi2Te0.1Se2.9,0.78,Matbench,2
Bi2Te0.3Se2.7,0.24,Matbench,2
Bi2Te0.45Se2.55,0.2,Matbench,2
BiPbClO2,2.45,Matbench,2
BiPd,0.0,Matbench,2
Bi2Te0.9Se2.1,0.28,Matbench,2
Bi0.2Te0.3Pb0.9Se0.9,0.25,Matbench,2
BiSI,1.56,Matbench,2
Bi2Te2.1Se0.9,0.29,Matbench,2
Bi2Te2.4Se0.6,0.25,Matbench,2
Bi2Te2.7Se0.3,0.2,Matbench,2
Bi2Te2.97Se0.03,0.15,Matbench,2
Bi2Te2SO10,3.6,Matbench,2
Bi2Te2Se,0.3,Matbench,2
Bi2Te3,0.25,Matbench,2
Bi3BTeO9,2.6,Matbench,2
Bi3I4O13F3,3.7,Matbench,2
Bi3Se2NO11,3.59,Matbench,2
Bi4I,0.0,Matbench,2
Ca(BC)2,0.0,Matbench,2
Ca(BIr)2,0.0,Matbench,2
Bi5IO7,2.76,Matbench,2
Bi2CO5,3.42,Matbench,2
Ca(CoS2)4,0.0,Matbench,2
Bi9S6O7.5,1.27,Matbench,2
BiAs2Os,0.0,Matbench,2
BiBPbO4,3.2,Matbench,2
BiBr3,2.66,Matbench,2
BiBrO,2.92,Matbench,2
BiClO,3.46,Matbench,2
BiIO3F2,3.97,Matbench,2
BiO,0.0,Matbench,2
BiP3(PbO4)3,3.7,Matbench,2
BiPO4,3.85,Matbench,2
BiPb2S2I3,1.6,Matbench,2
Ca11Bi10,0.0,Matbench,2
Ca11Ga7,0.0,Matbench,2
BiSBr,1.88,Matbench,2
Bi2Te1.2Se1.8,0.28,Matbench,2
Ca2CdPb,0.0,Matbench,2
BiSbTe3,0.19,Matbench,2
BiSe,0.4,Matbench,2
BiSeI,1.28,Matbench,2
BiSeO3F,3.83,Matbench,2
BiTeI,0.46,Matbench,2
BiTeNO6,3.62,Matbench,2
CBr4,3.7,Matbench,2
CI4,2.26,Matbench,2
Ca(AgGe)2,0.0,Matbench,2
Ca(Al4Co)2,0.0,Matbench,2
Ca(AlZn)2,0.0,Matbench,2
Ca2SmTaO6,3.45,Matbench,2
Ca2Sn,0.9,Matbench,2
Ca(BiO2)2,3.08,Matbench,2
Bi7O5F11,4.05,Matbench,2
Ca2Ti9O13,0.0,Matbench,2
Ca(GdS2)2,2.55,Matbench,2
Ca(GeRh)2,0.0,Matbench,2
Ca(LaS2)2,2.7,Matbench,2
Ca(MnAs)2,0.0,Matbench,2
Ca(NdS2)2,2.7,Matbench,2
Ca(Ni2O3)2,0.0,Matbench,2
Ca(PrS2)2,2.9,Matbench,2
Ca(SiPd)2,0.0,Matbench,2
Ca(SmS2)2,2.05,Matbench,2
Ca(TiS2)4,0.0,Matbench,2
Ca10Ge16(B2O17)3,5.47,Matbench,2
Ca3La2(SnS4)3,1.45,Matbench,2
Ca3N2,1.55,Matbench,2
Ca2Bi2O5,3.34,Matbench,2
BiSCl,1.89,Matbench,2
Ca3SbN,0.0,Matbench,2
Ca2Co9O13,0.0,Matbench,2
Ca2CuWO6,0.0,Matbench,2
Ca2Ge,1.0,Matbench,2
Ca2GeN2,0.0,Matbench,2
Ca2Mn9O13,0.0,Matbench,2
Ca2MnAlO5,0.0,Matbench,2
Ca2NiIrO6,0.0,Matbench,2
Ca2Os2O7,0.0,Matbench,2
Ca2PbAu2,0.0,Matbench,2
Ca2ScSbO6,3.68,Matbench,2
Ca2Si,1.9,Matbench,2
Ca5Sn4S13,0.0,Matbench,2
Ca6Ag16N,0.0,Matbench,2
Ca2Sn2F3,0.0,Matbench,2
Ca(CoGe)2,0.0,Matbench,2
CaAu5,0.0,Matbench,2
Ca2TlCd,0.0,Matbench,2
Ca2ZnRh,0.0,Matbench,2
Ca3(GaPt)2,0.0,Matbench,2
Ca3Al2Ge3,0.0,Matbench,2
Ca3Au,0.0,Matbench,2
Ca3Au4,0.0,Matbench,2
Ca3Bi(PO4)3,4.2,Matbench,2
Ca3BiAs,0.0,Matbench,2
Ca3BiSb,0.0,Matbench,2
Ca3Cu2(ClO2)2,0.0,Matbench,2
Ca3In,0.0,Matbench,2
CaHfZn,0.0,Matbench,2
CaHg2,0.0,Matbench,2
Ca3PbN,0.0,Matbench,2
Ca2CdAs2,0.95,Matbench,2
CaIn4Ir,0.0,Matbench,2
Ca3Sn2S7,0.0,Matbench,2
Ca3Ti2(SiO4)3,1.65,Matbench,2
Ca3TlN,0.0,Matbench,2
Ca3Zr17O37,0.0,Matbench,2
Ca4Al3O10,0.0,Matbench,2
Ca4Bi6O13,2.76,Matbench,2
Ca5(Bi7O13)2,2.6,Matbench,2
Ca5Au2,0.0,Matbench,2
Ca5B3O9F,6.53,Matbench,2
Ca5Ir,0.0,Matbench,2
Ca5Sb3,0.0,Matbench,2
CaSnO3,4.4,Matbench,2
CaTaNO2,2.4,Matbench,2
Ca6Cu2Sn7,0.0,Matbench,2
Ca2SnS4,2.32,Matbench,2
CaVO2,0.0,Matbench,2
CaB6,4.5,Matbench,2
CaCdPd2,0.0,Matbench,2
CaCdSi,0.0,Matbench,2
CaCu5,0.0,Matbench,2
CaEu2O3,0.0,Matbench,2
CaEuO2,0.0,Matbench,2
CaF2,9.92,Matbench,2
CaGa3Ni2,0.0,Matbench,2
CaGaAu3,0.0,Matbench,2
CaGaGe,0.0,Matbench,2
CaGe2,0.0,Matbench,2
Cd0.01In0.99Te0.01As0.99,0.76,Matbench,2
Cd0.02In0.98Te0.02As0.98,0.73,Matbench,2
CaI2,5.98,Matbench,2
Ca3Sb2,1.4,Matbench,2
Cd0.05Ga0.95Sb0.95Te0.05,0.74,Matbench,2
CaInAu,0.0,Matbench,2
CaInPt,0.0,Matbench,2
CaIrO3,0.0,Matbench,2
CaMg2N2,3.25,Matbench,2
CaMgSn,0.0,Matbench,2
CaMnSn,0.0,Matbench,2
CaNi5,0.0,Matbench,2
CaOsO3,0.0,Matbench,2
CaPb,0.0,Matbench,2
CaPd3C,0.0,Matbench,2
CaPrZn2,0.0,Matbench,2
Cd0.37Hg0.63Te1,0.35,Matbench,2
Cd0.3Hg0.7Se1,1.1,Matbench,2
CaTi4O8,0.0,Matbench,2
CaAgF5,0.0,Matbench,2
Cd0.5Hg0.5Se1,0.8,Matbench,2
CaYbInSe4,0.0,Matbench,2
CaZn2,0.0,Matbench,2
CaZn3,0.0,Matbench,2
CaZn3Ni2,0.0,Matbench,2
CaZn5,0.0,Matbench,2
CaZnSO,3.7,Matbench,2
Cd(GaS2)2,3.4,Matbench,2
Cd(In15Te23)2,1.17,Matbench,2
Cd(PS2)2,3.76,Matbench,2
Cd0.01Ga0.99Sb0.99Te0.01,0.72,Matbench,2
Cd0.01Hg0.99Se1,1.72,Matbench,2
Cd13I28,0.0,Matbench,2
Cd1Se0.01S0.99,2.4,Matbench,2
Cd0.03In0.97Te0.03As0.97,0.71,Matbench,2
CaIn2Ir,0.0,Matbench,2
Cd1Se0.45S0.55,2.05,Matbench,2
Cd0.05In0.95Te0.05As0.95,0.68,Matbench,2
Cd0.06In0.94Te0.06As0.94,0.68,Matbench,2
Cd0.07In0.93Te0.07As0.93,0.68,Matbench,2
Cd0.1Ga0.9Sb0.9Te0.1,0.78,Matbench,2
Cd0.1In0.9Te0.1As0.9,0.69,Matbench,2
Cd0.204Hg0.796Te1,0.06,Matbench,2
Cd0.23Hg0.77Te1,0.12,Matbench,2
Cd0.28Hg0.72Te1,0.21,Matbench,2
Cd0.2Ga0.8Sb0.8Te0.2,0.8,Matbench,2
Cd0.2In2.4Ag0.4Te4,0.42,Matbench,2
Cd0.35Hg0.65Te1,0.28,Matbench,2
Cd3P2,0.5,Matbench,2
Cd3Sb2,0.3,Matbench,2
Cd0.3Hg0.7Te1,0.27,Matbench,2
CaTiO2,0.0,Matbench,2
Cd4P2Cl3,2.17,Matbench,2
Cd0.5In2.25Ag0.25Te4,0.39,Matbench,2
Cd0.5In2.2Ag0.4Te4,0.19,Matbench,2
Cd0.6Hg0.4Se1,0.7,Matbench,2
Cd0.75In2.1Ag0.2Te4,0.54,Matbench,2
Cd0.7Hg0.3Se1,0.55,Matbench,2
Cd0.8Hg0.2Se1,0.45,Matbench,2
Cd0.8In2.1Ag0.1Te4,0.29,Matbench,2
Cd0.99Ga0.01Sb0.01Te0.99,1.35,Matbench,2
Cd0.99Hg0.01Se1,0.29,Matbench,2
Cd0.9Hg0.1Se1,0.35,Matbench,2
Cd12Ge17(B4O29)2,4.29,Matbench,2
CdBiClO2,3.08,Matbench,2
CdBr2,4.47,Matbench,2
Cd1Se0.2S0.8,2.23,Matbench,2
Cd0.04In0.96Te0.04As0.96,0.69,Matbench,2
CdCu2GeS4,2.05,Matbench,2
Cd1Se0.65S0.35,1.93,Matbench,2
Cd1Se0.99S0.01,1.68,Matbench,2
Cd2AgRh,0.0,Matbench,2
Cd2InAgTe3,0.47,Matbench,2
Cd2InCuTe3,0.7,Matbench,2
Cd2InCuTe4,0.85,Matbench,2
Cd2PbO4,0.0,Matbench,2
Cd3AgPS6,2.56,Matbench,2
Cd3Bi(PO4)3,3.9,Matbench,2
Cd3Bi2,0.2,Matbench,2
Cd3In2(Te2S)2,1.23,Matbench,2
CdInCuSe3,1.66,Matbench,2
CdO,2.3,Matbench,2
Cd3Te2MoO10,3.81,Matbench,2
Cd0.4Hg0.6Se1,0.95,Matbench,2
CdPt,0.0,Matbench,2
Cd4P2I3,2.17,Matbench,2
Cd4Sb2I3,1.83,Matbench,2
Cd4Sb3,1.25,Matbench,2
Cd5Ga2(Te3S)2,1.29,Matbench,2
Cd6P7,0.85,Matbench,2
Cd8B5O15F,3.14,Matbench,2
CdAg,0.0,Matbench,2
CdAg2(PS3)2,2.49,Matbench,2
CdAg2GeS4,2.32,Matbench,2
CdAsPd5,0.0,Matbench,2
CdAuO2,0.0,Matbench,2
Ce(MnGe)2,0.0,Matbench,2
Ce(MnSi)2,0.0,Matbench,2
CdCl2,5.7,Matbench,2
Cd1Se0.35S0.65,2.13,Matbench,2
Ce(SiNi)2,0.0,Matbench,2
CdCu2GeSe4,1.2,Matbench,2
CdCu2SnS4,1.37,Matbench,2
CdCu2SnSe4,0.96,Matbench,2
CdF2,6.0,Matbench,2
